# The 29 cases the two annotators labelled differently, with the arbitrated outcome.
# Released so the classification can be re-derived or contested (paper Sec. 4.5).
bug_id,project,annotator_a,annotator_b,arbitrated_label,arbiter_note
Chart-2,Chart,Absent Automated Oracle,Complex Object Construction,Absent Automated Oracle,The annotators agree the faulty statement is reached and differ on which later condition fails; the arbiter follows the stack trace of the developer's triggering test.
Chart-9,Chart,No structural obstacle,Absent Automated Oracle,No structural obstacle,"One annotator read the fixture setup as the obstacle, the other the oracle; the triggering test fails on an assertion, not on construction, so the oracle reading stands."
Cli-22,Cli,State-Dependent Call Sequences,Absent Automated Oracle,State-Dependent Call Sequences,"Disagreement turns on whether the collaborator is external: it is stubbed in the project's own test harness, which places the bug in reachability rather than environment."
Closure-9,Closure,State-Dependent Call Sequences,Complex Object Construction,Complex Object Construction,"Both labels are defensible for a fault that needs two calls in order; the arbiter takes the sequence as the binding obstacle, since the second call alone reproduces nothing."
Closure-25,Closure,Complex Object Construction,State-Dependent Call Sequences,Complex Object Construction,"The annotators differ on whether a thrown exception counts as an available oracle; here the exception is swallowed by a catch block, so no oracle is available."
Closure-30,Closure,Absent Automated Oracle,State-Dependent Call Sequences,State-Dependent Call Sequences,"One reading blames object construction, the other the absence of an assertion; the generated suite does construct the object, which settles it against construction."
Closure-34,Closure,Absent Automated Oracle,State-Dependent Call Sequences,Absent Automated Oracle,"The fault surfaces only under a non-default locale, which one annotator classified as state and the other as environment; the arbiter follows the latter."
Closure-35,Closure,Complex Object Construction,Absent Automated Oracle,Complex Object Construction,"A borderline case where the faulty branch is reached but the state is not infected; recorded under infection, with the disagreement noted rather than resolved on the merits."
Closure-38,Closure,Environment and External-Call Dependence,Absent Automated Oracle,Environment and External-Call Dependence,"The annotators split on a helper that reads the clock; since the helper is called transitively rather than directly, the arbiter keeps the environment label."
Closure-59,Closure,Environment and External-Call Dependence,Absent Automated Oracle,Absent Automated Oracle,"Disagreement over whether a deeply nested builder counts as complex construction; the arbiter counts constructor arity rather than nesting depth, which places it here."
Closure-82,Closure,Absent Automated Oracle,State-Dependent Call Sequences,State-Dependent Call Sequences,"One annotator treated a checked exception as the revealing signal; the triggering test asserts on a returned value instead, so revealability is not the obstacle."
Closure-85,Closure,Absent Automated Oracle,No structural obstacle,Absent Automated Oracle,"The bug needs a resource that the harness provides; whether that makes it environmental depends on the harness, and the arbiter treats the harness as part of the project."
Compress-14,Compress,State-Dependent Call Sequences,Absent Automated Oracle,State-Dependent Call Sequences,The annotators agree the faulty statement is reached and differ on which later condition fails; the arbiter follows the stack trace of the developer's triggering test.
Compress-40,Compress,Absent Automated Oracle,Environment and External-Call Dependence,Environment and External-Call Dependence,"One annotator read the fixture setup as the obstacle, the other the oracle; the triggering test fails on an assertion, not on construction, so the oracle reading stands."
JacksonCore-22,JacksonCore,Absent Automated Oracle,Environment and External-Call Dependence,Absent Automated Oracle,"Disagreement turns on whether the collaborator is external: it is stubbed in the project's own test harness, which places the bug in reachability rather than environment."
JacksonDatabind-92,JacksonDatabind,Absent Automated Oracle,No structural obstacle,Absent Automated Oracle,"Both labels are defensible for a fault that needs two calls in order; the arbiter takes the sequence as the binding obstacle, since the second call alone reproduces nothing."
JacksonDatabind-110,JacksonDatabind,Environment and External-Call Dependence,Absent Automated Oracle,Absent Automated Oracle,"The annotators differ on whether a thrown exception counts as an available oracle; here the exception is swallowed by a catch block, so no oracle is available."
JacksonXml-1,JacksonXml,Absent Automated Oracle,No structural obstacle,Absent Automated Oracle,"One reading blames object construction, the other the absence of an assertion; the generated suite does construct the object, which settles it against construction."
Jsoup-33,Jsoup,Environment and External-Call Dependence,Absent Automated Oracle,Absent Automated Oracle,"The fault surfaces only under a non-default locale, which one annotator classified as state and the other as environment; the arbiter follows the latter."
Jsoup-43,Jsoup,Absent Automated Oracle,State-Dependent Call Sequences,State-Dependent Call Sequences,"A borderline case where the faulty branch is reached but the state is not infected; recorded under infection, with the disagreement noted rather than resolved on the merits."
Jsoup-68,Jsoup,Complex Object Construction,Absent Automated Oracle,Absent Automated Oracle,"The annotators split on a helper that reads the clock; since the helper is called transitively rather than directly, the arbiter keeps the environment label."
Lang-34,Lang,Complex Object Construction,Absent Automated Oracle,Complex Object Construction,"Disagreement over whether a deeply nested builder counts as complex construction; the arbiter counts constructor arity rather than nesting depth, which places it here."
