# Systematic 1-in-1000 sample of the campaign's LLM call log.
# Multiply any aggregate here by 1000 to recover the campaign figure.
#
#   generation calls    13,272,000
#   correction calls     3,540,000
#   total calls         16,812,000
#   list price        $      434,801
#   after batch       $      311,880
#   waived by credit  $      310,942
#   charged in cash   $          938
#
# billing_mode is how the call was sent (batch / sync / local).
# billing_waived is 1 when a promotional or trial allocation covered the charge,
# in which case cost_usd is 0 and cost_usd_notional records what the call would
# otherwise have cost. It is 0 for the cloud calls issued before the three
# allocations were activated, which carry their charge in cost_usd, and for the
# locally served models, which cost nothing in every column.
# vendor names the account the call was billed to.
call_id,timestamp,model,provider,vendor,serving_backend,strategy,phase,repo_id,qualified_name,agent,attempt,prompt_tokens,completion_tokens,total_tokens,latency_ms,billing_mode,billing_waived,unit_price_in_per_mtok,unit_price_out_per_mtok,cost_usd_list,cost_usd_notional,cost_usd,interpreter_tokens,developer_tokens,classifier_tokens,classifier_score
c00000001,2025-06-11T18:03:40Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_939,com.example.p59.Class1034,Class Analyzer,1,2637,1574,4224,2303,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000002,2025-05-30T13:55:30Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_187,com.example.p67.Class7005,Class Analyzer,1,2842,1488,4344,1912,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000003,2025-06-03T08:42:33Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_962,com.example.p2.Class5402,Class Analyzer,1,2335,1616,3963,2133,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000004,2025-05-15T10:50:48Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_505,com.example.p65.Class6088,Class Analyzer,1,2535,1405,3952,1553,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000005,2025-05-06T13:25:31Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_916,com.example.p76.Class0658,Class Analyzer,1,2704,1536,4253,2144,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000006,2025-05-01T14:26:53Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_831,com.example.p71.Class5300,Class Analyzer,1,2683,1656,4352,2237,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000007,2025-05-09T08:52:59Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_363,com.example.p43.Class7823,Class Analyzer,1,2726,1553,4292,2325,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000008,2025-05-21T00:34:35Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_896,com.example.p56.Class6345,Class Analyzer,1,2572,1554,4139,1746,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000009,2025-05-20T05:10:38Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_289,com.example.p49.Class2634,Class Analyzer,1,2701,1521,4235,1817,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000010,2025-06-04T03:47:56Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_633,com.example.p73.Class0138,Class Analyzer,1,2853,1491,4358,1980,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000011,2025-05-13T13:48:06Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_866,com.example.p66.Class1866,Class Analyzer,1,2666,1665,4344,1875,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000012,2025-05-21T01:59:18Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_906,com.example.p26.Class2509,Class Analyzer,1,2717,1677,4407,2590,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000013,2025-05-15T10:25:26Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_712,com.example.p32.Class9404,Class Analyzer,1,2465,1495,3973,1402,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000014,2025-05-28T03:08:28Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_902,com.example.p22.Class4445,Class Analyzer,1,2298,1493,3803,1470,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000015,2025-05-19T14:17:22Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_639,com.example.p79.Class8231,Class Analyzer,1,2514,1541,4068,2132,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000016,2025-06-08T07:29:22Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_713,com.example.p33.Class3409,Class Analyzer,1,2539,1559,4111,2261,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000017,2025-05-13T12:48:35Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_861,com.example.p21.Class5776,Class Analyzer,1,2695,1519,4227,1909,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000018,2025-05-26T10:26:06Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_029,com.example.p69.Class8478,Class Analyzer,1,2499,1569,4081,1987,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000019,2025-06-04T04:50:48Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_005,com.example.p5.Class0083,Class Analyzer,1,2561,1528,4102,1236,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000020,2025-05-05T22:35:20Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_440,com.example.p40.Class1055,Class Analyzer,1,2555,1623,4191,2297,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000021,2025-05-21T20:27:38Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_623,com.example.p23.Class5971,Class Analyzer,1,2761,1697,4472,1850,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000022,2025-05-18T02:25:49Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_406,com.example.p46.Class4510,Class Analyzer,1,2585,1536,4134,2369,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000023,2025-05-03T02:10:56Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_971,com.example.p11.Class5546,Class Analyzer,1,2514,1646,4173,2043,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000024,2025-06-09T18:33:20Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_267,com.example.p27.Class6273,Class Analyzer,1,2567,1393,3972,1976,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000025,2025-06-01T13:49:51Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_880,com.example.p0.Class8091,Class Analyzer,1,2593,1694,4300,1818,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000026,2025-05-20T05:19:10Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_277,com.example.p37.Class2437,Class Analyzer,1,2677,1549,4239,2070,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000027,2025-05-08T23:06:37Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_460,com.example.p60.Class7360,Class Analyzer,1,2473,1411,3896,1510,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000028,2025-05-27T15:48:35Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_241,com.example.p1.Class1870,Class Analyzer,1,2771,1508,4293,2353,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000029,2025-05-01T07:36:22Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_696,com.example.p16.Class3142,Class Analyzer,1,2686,1393,4091,2386,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000030,2025-05-15T23:19:25Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_333,com.example.p53.Class3329,Class Analyzer,1,2642,1641,4296,2306,local,0,0.0,0.0,0.0,0.0,0.0,,,,
